variable,grupo,valor,n,pct
rph_sexo,eliminado,1,2472,39.28
rph_sexo,eliminado,2,3821,60.72
rph_sexo,incluido,1,22230,44.91
rph_sexo,incluido,2,27273,55.09
rph_nse,eliminado,1,3295,52.36
rph_nse,eliminado,2,2234,35.5
rph_nse,eliminado,3,764,12.14
rph_nse,incluido,1,22597,45.65
rph_nse,incluido,2,19019,38.42
rph_nse,incluido,3,7887,15.93
vp_dc,eliminado,0,5110,81.2
vp_dc,eliminado,1,1183,18.8
vp_dc,incluido,0,37411,75.57
vp_dc,incluido,1,12092,24.43
vp_dv,eliminado,0,6098,96.9
vp_dv,eliminado,1,195,3.1
vp_dv,incluido,0,47281,95.51
vp_dv,incluido,1,2222,4.49
