etiqueta,filas_antes,filas_despues,cols_agregadas,cols_eliminadas
filtrar_muestra,160378,55796,0,0
seleccionar_variables,55796,55796,102,1347
indices_pct,55796,55796,6,0
perper_delito,55796,55796,1,0
comper_gasto,55796,55796,1,0
no_respuesta_comgen,55796,55796,0,0
categorizado,55796,55796,6,0
codigos_recuperados,55796,55796,0,0
etiquetado_indices,55796,55796,0,0
pegar_clusters,55796,55796,3,0
indices_secundarios,55796,55796,4,0
vars_info,55796,55796,5,0
sociodemograficas,55796,55796,3,0
etiquetado_secundarias,55796,55796,0,0
