etiqueta,variable_antes,variable_despues,valor,n_antes,pct_antes,n_despues,pct_despues
indices_pct,emper_ep_pct,emper_ep_pct,0,NA,NA,12387,22.2
indices_pct,emper_ep_pct,emper_ep_pct,10,NA,NA,866,1.55
indices_pct,emper_ep_pct,emper_ep_pct,100,NA,NA,3903,7
indices_pct,emper_ep_pct,emper_ep_pct,11.1111111111111,NA,NA,968,1.73
indices_pct,emper_ep_pct,emper_ep_pct,12.5,NA,NA,1120,2.01
indices_pct,emper_ep_pct,emper_ep_pct,14.2857142857143,NA,NA,1135,2.03
indices_pct,emper_ep_pct,emper_ep_pct,16.6666666666667,NA,NA,1106,1.98
indices_pct,emper_ep_pct,emper_ep_pct,18.1818181818182,NA,NA,545,0.98
indices_pct,emper_ep_pct,emper_ep_pct,20,NA,NA,1666,2.99
indices_pct,emper_ep_pct,emper_ep_pct,22.2222222222222,NA,NA,872,1.56
indices_pct,emper_ep_pct,emper_ep_pct,25,NA,NA,1599,2.87
indices_pct,emper_ep_pct,emper_ep_pct,27.2727272727273,NA,NA,545,0.98
indices_pct,emper_ep_pct,emper_ep_pct,28.5714285714286,NA,NA,1026,1.84
indices_pct,emper_ep_pct,emper_ep_pct,30,NA,NA,761,1.36
indices_pct,emper_ep_pct,emper_ep_pct,33.3333333333333,NA,NA,2150,3.85
indices_pct,emper_ep_pct,emper_ep_pct,36.3636363636364,NA,NA,608,1.09
indices_pct,emper_ep_pct,emper_ep_pct,37.5,NA,NA,912,1.63
indices_pct,emper_ep_pct,emper_ep_pct,40,NA,NA,1498,2.68
indices_pct,emper_ep_pct,emper_ep_pct,42.8571428571429,NA,NA,943,1.69
indices_pct,emper_ep_pct,emper_ep_pct,44.4444444444444,NA,NA,806,1.44
indices_pct,emper_ep_pct,emper_ep_pct,45.4545454545455,NA,NA,606,1.09
indices_pct,emper_ep_pct,emper_ep_pct,50,NA,NA,3339,5.98
indices_pct,emper_ep_pct,emper_ep_pct,54.5454545454545,NA,NA,653,1.17
indices_pct,emper_ep_pct,emper_ep_pct,55.5555555555556,NA,NA,797,1.43
indices_pct,emper_ep_pct,emper_ep_pct,57.1428571428571,NA,NA,884,1.58
indices_pct,emper_ep_pct,emper_ep_pct,60,NA,NA,1370,2.46
indices_pct,emper_ep_pct,emper_ep_pct,62.5,NA,NA,824,1.48
indices_pct,emper_ep_pct,emper_ep_pct,63.6363636363636,NA,NA,608,1.09
indices_pct,emper_ep_pct,emper_ep_pct,66.6666666666667,NA,NA,1822,3.27
indices_pct,emper_ep_pct,emper_ep_pct,70,NA,NA,665,1.19
indices_pct,emper_ep_pct,emper_ep_pct,71.4285714285714,NA,NA,760,1.36
indices_pct,emper_ep_pct,emper_ep_pct,72.7272727272727,NA,NA,569,1.02
indices_pct,emper_ep_pct,emper_ep_pct,75,NA,NA,1235,2.21
indices_pct,emper_ep_pct,emper_ep_pct,77.7777777777778,NA,NA,604,1.08
indices_pct,emper_ep_pct,emper_ep_pct,80,NA,NA,1134,2.03
indices_pct,emper_ep_pct,emper_ep_pct,81.8181818181818,NA,NA,479,0.86
indices_pct,emper_ep_pct,emper_ep_pct,83.3333333333333,NA,NA,679,1.22
indices_pct,emper_ep_pct,emper_ep_pct,85.7142857142857,NA,NA,610,1.09
indices_pct,emper_ep_pct,emper_ep_pct,87.5,NA,NA,553,0.99
indices_pct,emper_ep_pct,emper_ep_pct,88.8888888888889,NA,NA,513,0.92
indices_pct,emper_ep_pct,emper_ep_pct,9.09090909090909,NA,NA,596,1.07
indices_pct,emper_ep_pct,emper_ep_pct,90,NA,NA,451,0.81
indices_pct,emper_ep_pct,emper_ep_pct,90.9090909090909,NA,NA,458,0.82
indices_pct,emper_ep_pct,emper_ep_pct,NA,NA,NA,171,0.31
indices_pct,emper_barrio_pct,emper_barrio_pct,0,NA,NA,20314,36.41
indices_pct,emper_barrio_pct,emper_barrio_pct,100,NA,NA,11553,20.71
indices_pct,emper_barrio_pct,emper_barrio_pct,50,NA,NA,22914,41.07
indices_pct,emper_barrio_pct,emper_barrio_pct,NA,NA,NA,1015,1.82
indices_pct,emper_casa_pct,emper_casa_pct,0,NA,NA,42215,75.66
indices_pct,emper_casa_pct,emper_casa_pct,100,NA,NA,4919,8.82
indices_pct,emper_casa_pct,emper_casa_pct,50,NA,NA,8556,15.33
indices_pct,emper_casa_pct,emper_casa_pct,NA,NA,NA,106,0.19
indices_pct,comper_pct,comper_pct,0,NA,NA,9724,17.43
indices_pct,comper_pct,comper_pct,10,NA,NA,1087,1.95
indices_pct,comper_pct,comper_pct,100,NA,NA,1155,2.07
indices_pct,comper_pct,comper_pct,11.1111111111111,NA,NA,706,1.27
indices_pct,comper_pct,comper_pct,12.5,NA,NA,478,0.86
indices_pct,comper_pct,comper_pct,14.2857142857143,NA,NA,299,0.54
indices_pct,comper_pct,comper_pct,15.3846153846154,NA,NA,969,1.74
indices_pct,comper_pct,comper_pct,16.6666666666667,NA,NA,1347,2.41
