etiqueta,variable_antes,variable_despues,origen,destino,n
no_respuesta_comgen,comgen_per_pct,comgen_per_pct,0,0,6007
no_respuesta_comgen,comgen_per_pct,comgen_per_pct,11.1111111111111,11.1111111111111,14930
no_respuesta_comgen,comgen_per_pct,comgen_per_pct,22.2222222222222,22.2222222222222,14867
no_respuesta_comgen,comgen_per_pct,comgen_per_pct,33.3333333333333,33.3333333333333,10106
no_respuesta_comgen,comgen_per_pct,comgen_per_pct,44.4444444444444,44.4444444444444,5531
no_respuesta_comgen,comgen_per_pct,comgen_per_pct,55.5555555555556,55.5555555555556,2608
no_respuesta_comgen,comgen_per_pct,comgen_per_pct,66.6666666666667,66.6666666666667,1090
no_respuesta_comgen,comgen_per_pct,comgen_per_pct,77.7777777777778,77.7777777777778,437
no_respuesta_comgen,comgen_per_pct,comgen_per_pct,88.8888888888889,88.8888888888889,107
no_respuesta_comgen,comgen_per_pct,comgen_per_pct,100,100,8
no_respuesta_comgen,comgen_per_pct,comgen_per_pct,0,NA,105
no_respuesta_comgen,comgen_com_pct,comgen_com_pct,0,0,17256
no_respuesta_comgen,comgen_com_pct,comgen_com_pct,12.5,12.5,15684
no_respuesta_comgen,comgen_com_pct,comgen_com_pct,25,25,10726
no_respuesta_comgen,comgen_com_pct,comgen_com_pct,37.5,37.5,5820
no_respuesta_comgen,comgen_com_pct,comgen_com_pct,50,50,2609
no_respuesta_comgen,comgen_com_pct,comgen_com_pct,62.5,62.5,1309
no_respuesta_comgen,comgen_com_pct,comgen_com_pct,75,75,454
no_respuesta_comgen,comgen_com_pct,comgen_com_pct,87.5,87.5,83
no_respuesta_comgen,comgen_com_pct,comgen_com_pct,100,100,11
no_respuesta_comgen,comgen_com_pct,comgen_com_pct,0,NA,1844
categorizado,emper_ep_pct,emper_ep_pct_cat,0,1,12387
categorizado,emper_ep_pct,emper_ep_pct_cat,9.09090909090909,2,596
categorizado,emper_ep_pct,emper_ep_pct_cat,10,2,866
categorizado,emper_ep_pct,emper_ep_pct_cat,11.1111111111111,2,968
categorizado,emper_ep_pct,emper_ep_pct_cat,12.5,2,1120
categorizado,emper_ep_pct,emper_ep_pct_cat,14.2857142857143,2,1135
categorizado,emper_ep_pct,emper_ep_pct_cat,16.6666666666667,2,1106
categorizado,emper_ep_pct,emper_ep_pct_cat,18.1818181818182,2,545
categorizado,emper_ep_pct,emper_ep_pct_cat,20,2,1666
categorizado,emper_ep_pct,emper_ep_pct_cat,22.2222222222222,2,872
categorizado,emper_ep_pct,emper_ep_pct_cat,25,2,1599
categorizado,emper_ep_pct,emper_ep_pct_cat,27.2727272727273,2,545
categorizado,emper_ep_pct,emper_ep_pct_cat,28.5714285714286,2,1026
categorizado,emper_ep_pct,emper_ep_pct_cat,30,2,761
categorizado,emper_ep_pct,emper_ep_pct_cat,33.3333333333333,2,2150
categorizado,emper_ep_pct,emper_ep_pct_cat,36.3636363636364,2,608
categorizado,emper_ep_pct,emper_ep_pct_cat,37.5,2,912
categorizado,emper_ep_pct,emper_ep_pct_cat,40,2,1498
categorizado,emper_ep_pct,emper_ep_pct_cat,42.8571428571429,2,943
categorizado,emper_ep_pct,emper_ep_pct_cat,44.4444444444444,2,806
categorizado,emper_ep_pct,emper_ep_pct_cat,45.4545454545455,2,606
categorizado,emper_ep_pct,emper_ep_pct_cat,50,2,3339
categorizado,emper_ep_pct,emper_ep_pct_cat,54.5454545454545,3,653
categorizado,emper_ep_pct,emper_ep_pct_cat,55.5555555555556,3,797
categorizado,emper_ep_pct,emper_ep_pct_cat,57.1428571428571,3,884
categorizado,emper_ep_pct,emper_ep_pct_cat,60,3,1370
categorizado,emper_ep_pct,emper_ep_pct_cat,62.5,3,824
categorizado,emper_ep_pct,emper_ep_pct_cat,63.6363636363636,3,608
categorizado,emper_ep_pct,emper_ep_pct_cat,66.6666666666667,3,1822
categorizado,emper_ep_pct,emper_ep_pct_cat,70,3,665
categorizado,emper_ep_pct,emper_ep_pct_cat,71.4285714285714,3,760
categorizado,emper_ep_pct,emper_ep_pct_cat,72.7272727272727,3,569
categorizado,emper_ep_pct,emper_ep_pct_cat,75,3,1235
