variable,grupo,valor,n,pct
rph_sexo,otro_delito_d3,1,25,32.05
rph_sexo,otro_delito_d3,2,53,67.95
rph_sexo,resto_muestra,1,24677,44.29
rph_sexo,resto_muestra,2,31041,55.71
rph_nivel_rec,otro_delito_d3,1,16,20.51
rph_nivel_rec,otro_delito_d3,2,32,41.03
rph_nivel_rec,otro_delito_d3,3,29,37.18
rph_nivel_rec,otro_delito_d3,99,1,1.28
rph_nivel_rec,resto_muestra,1,9429,16.92
rph_nivel_rec,resto_muestra,2,23721,42.57
rph_nivel_rec,resto_muestra,3,22295,40.01
rph_nivel_rec,resto_muestra,96,192,0.34
rph_nivel_rec,resto_muestra,99,81,0.15
rph_edad_rec,otro_delito_d3,1,13,16.67
rph_edad_rec,otro_delito_d3,2,44,56.41
rph_edad_rec,otro_delito_d3,3,21,26.92
rph_edad_rec,resto_muestra,1,11050,19.83
rph_edad_rec,resto_muestra,2,27441,49.25
rph_edad_rec,resto_muestra,3,17227,30.92
rph_nse,otro_delito_d3,1,39,50
rph_nse,otro_delito_d3,2,29,37.18
rph_nse,otro_delito_d3,3,10,12.82
rph_nse,resto_muestra,1,25853,46.4
rph_nse,resto_muestra,2,21224,38.09
rph_nse,resto_muestra,3,8641,15.51
enc_region_rec,otro_delito_d3,1,13,16.67
enc_region_rec,otro_delito_d3,2,32,41.03
enc_region_rec,otro_delito_d3,3,8,10.26
enc_region_rec,otro_delito_d3,4,25,32.05
enc_region_rec,resto_muestra,1,7363,13.21
enc_region_rec,resto_muestra,2,25400,45.59
enc_region_rec,resto_muestra,3,7295,13.09
enc_region_rec,resto_muestra,4,15660,28.11
vp_dc,otro_delito_d3,0,59,75.64
vp_dc,otro_delito_d3,1,19,24.36
vp_dc,resto_muestra,0,42462,76.21
vp_dc,resto_muestra,1,13256,23.79
vp_dv,otro_delito_d3,0,74,94.87
vp_dv,otro_delito_d3,1,4,5.13
vp_dv,resto_muestra,0,53305,95.67
vp_dv,resto_muestra,1,2413,4.33
desordenes_ind_rec,otro_delito_d3,1,13,16.67
desordenes_ind_rec,otro_delito_d3,2,22,28.21
desordenes_ind_rec,otro_delito_d3,3,43,55.13
desordenes_ind_rec,resto_muestra,1,18586,33.36
desordenes_ind_rec,resto_muestra,2,18577,33.34
desordenes_ind_rec,resto_muestra,3,18555,33.3
incivilidades_ind_rec,otro_delito_d3,1,14,17.95
incivilidades_ind_rec,otro_delito_d3,2,27,34.62
incivilidades_ind_rec,otro_delito_d3,3,37,47.44
incivilidades_ind_rec,resto_muestra,1,18585,33.36
incivilidades_ind_rec,resto_muestra,2,18572,33.33
incivilidades_ind_rec,resto_muestra,3,18561,33.31
info_exp_personal,otro_delito_d3,0,50,64.1
info_exp_personal,otro_delito_d3,1,27,34.62
info_exp_personal,otro_delito_d3,88,1,1.28
info_exp_personal,resto_muestra,0,43978,78.93
info_exp_personal,resto_muestra,1,11673,20.95
info_exp_personal,resto_muestra,88,56,0.1
info_exp_personal,resto_muestra,99,11,0.02
info_otras_personas,otro_delito_d3,0,35,44.87
info_otras_personas,otro_delito_d3,1,42,53.85
info_otras_personas,otro_delito_d3,88,1,1.28
info_otras_personas,resto_muestra,0,22799,40.92
info_otras_personas,resto_muestra,1,32852,58.96
info_otras_personas,resto_muestra,88,56,0.1
info_otras_personas,resto_muestra,99,11,0.02
info_rrss,otro_delito_d3,0,39,50
info_rrss,otro_delito_d3,1,38,48.72
info_rrss,otro_delito_d3,88,1,1.28
info_rrss,resto_muestra,0,23370,41.94
info_rrss,resto_muestra,1,32281,57.94
info_rrss,resto_muestra,88,56,0.1
info_rrss,resto_muestra,99,11,0.02
info_prensa,otro_delito_d3,0,34,43.59
info_prensa,otro_delito_d3,1,43,55.13
info_prensa,otro_delito_d3,88,1,1.28
info_prensa,resto_muestra,0,20756,37.25
info_prensa,resto_muestra,1,34895,62.63
info_prensa,resto_muestra,88,56,0.1
info_prensa,resto_muestra,99,11,0.02
info_tv,otro_delito_d3,0,40,51.28
info_tv,otro_delito_d3,1,37,47.44
info_tv,otro_delito_d3,88,1,1.28
info_tv,resto_muestra,0,27385,49.15
info_tv,resto_muestra,1,28266,50.73
info_tv,resto_muestra,88,56,0.1
info_tv,resto_muestra,99,11,0.02
