variable,grupo,valor,n,pct
rph_sexo,categoria4_d7,1,926,38.76
rph_sexo,categoria4_d7,2,1463,61.24
rph_sexo,resto_muestra,1,23776,44.52
rph_sexo,resto_muestra,2,29631,55.48
rph_nivel_rec,categoria4_d7,1,654,27.38
rph_nivel_rec,categoria4_d7,2,1114,46.63
rph_nivel_rec,categoria4_d7,3,607,25.41
rph_nivel_rec,categoria4_d7,96,9,0.38
rph_nivel_rec,categoria4_d7,99,5,0.21
rph_nivel_rec,resto_muestra,1,8791,16.46
rph_nivel_rec,resto_muestra,2,22639,42.39
rph_nivel_rec,resto_muestra,3,21717,40.66
rph_nivel_rec,resto_muestra,96,183,0.34
rph_nivel_rec,resto_muestra,99,77,0.14
rph_edad_rec,categoria4_d7,1,238,9.96
rph_edad_rec,categoria4_d7,2,964,40.35
rph_edad_rec,categoria4_d7,3,1187,49.69
rph_edad_rec,resto_muestra,1,10825,20.27
rph_edad_rec,resto_muestra,2,26521,49.66
rph_edad_rec,resto_muestra,3,16061,30.07
rph_nse,categoria4_d7,1,1376,57.6
rph_nse,categoria4_d7,2,822,34.41
rph_nse,categoria4_d7,3,191,7.99
rph_nse,resto_muestra,1,24516,45.9
rph_nse,resto_muestra,2,20431,38.26
rph_nse,resto_muestra,3,8460,15.84
enc_region_rec,categoria4_d7,1,267,11.18
enc_region_rec,categoria4_d7,2,1318,55.17
enc_region_rec,categoria4_d7,3,317,13.27
enc_region_rec,categoria4_d7,4,487,20.39
enc_region_rec,resto_muestra,1,7109,13.31
enc_region_rec,resto_muestra,2,24114,45.15
enc_region_rec,resto_muestra,3,6986,13.08
enc_region_rec,resto_muestra,4,15198,28.46
vp_dc,categoria4_d7,0,2003,83.84
vp_dc,categoria4_d7,1,386,16.16
vp_dc,resto_muestra,0,40518,75.87
vp_dc,resto_muestra,1,12889,24.13
vp_dv,categoria4_d7,0,2334,97.7
vp_dv,categoria4_d7,1,55,2.3
vp_dv,resto_muestra,0,51045,95.58
vp_dv,resto_muestra,1,2362,4.42
desordenes_ind_rec,categoria4_d7,1,1019,42.65
desordenes_ind_rec,categoria4_d7,2,812,33.99
desordenes_ind_rec,categoria4_d7,3,558,23.36
desordenes_ind_rec,resto_muestra,1,17580,32.92
desordenes_ind_rec,resto_muestra,2,17787,33.3
desordenes_ind_rec,resto_muestra,3,18040,33.78
incivilidades_ind_rec,categoria4_d7,1,1087,45.5
incivilidades_ind_rec,categoria4_d7,2,774,32.4
incivilidades_ind_rec,categoria4_d7,3,528,22.1
incivilidades_ind_rec,resto_muestra,1,17512,32.79
incivilidades_ind_rec,resto_muestra,2,17825,33.38
incivilidades_ind_rec,resto_muestra,3,18070,33.83
info_exp_personal,categoria4_d7,0,1921,80.41
info_exp_personal,categoria4_d7,1,460,19.25
info_exp_personal,categoria4_d7,88,6,0.25
info_exp_personal,categoria4_d7,99,2,0.08
info_exp_personal,resto_muestra,0,42107,78.84
info_exp_personal,resto_muestra,1,11240,21.05
info_exp_personal,resto_muestra,88,51,0.1
info_exp_personal,resto_muestra,99,9,0.02
info_otras_personas,categoria4_d7,0,882,36.92
info_otras_personas,categoria4_d7,1,1499,62.75
info_otras_personas,categoria4_d7,88,6,0.25
info_otras_personas,categoria4_d7,99,2,0.08
info_otras_personas,resto_muestra,0,21952,41.1
info_otras_personas,resto_muestra,1,31395,58.78
info_otras_personas,resto_muestra,88,51,0.1
info_otras_personas,resto_muestra,99,9,0.02
info_rrss,categoria4_d7,0,1237,51.78
info_rrss,categoria4_d7,1,1144,47.89
info_rrss,categoria4_d7,88,6,0.25
info_rrss,categoria4_d7,99,2,0.08
info_rrss,resto_muestra,0,22172,41.52
info_rrss,resto_muestra,1,31175,58.37
info_rrss,resto_muestra,88,51,0.1
info_rrss,resto_muestra,99,9,0.02
info_prensa,categoria4_d7,0,712,29.8
info_prensa,categoria4_d7,1,1669,69.86
info_prensa,categoria4_d7,88,6,0.25
info_prensa,categoria4_d7,99,2,0.08
info_prensa,resto_muestra,0,20078,37.59
info_prensa,resto_muestra,1,33269,62.29
info_prensa,resto_muestra,88,51,0.1
info_prensa,resto_muestra,99,9,0.02
info_tv,categoria4_d7,0,989,41.4
info_tv,categoria4_d7,1,1392,58.27
info_tv,categoria4_d7,88,6,0.25
info_tv,categoria4_d7,99,2,0.08
info_tv,resto_muestra,0,26436,49.5
info_tv,resto_muestra,1,26911,50.39
info_tv,resto_muestra,88,51,0.1
info_tv,resto_muestra,99,9,0.02
