original,nuestro
rph_ID,rph_id
idhogar,idhogar
Conglomerado,conglomerado
VarStrat,var_strat
Fact_Pers_Reg,fact_pers_reg
Fact_Hog_Reg,fact_hog_reg
P_INSEG_LUGARES_1,emper_p_inseg_lugares_1
P_INSEG_LUGARES_2,emper_p_inseg_lugares_2
P_INSEG_LUGARES_3,emper_p_inseg_lugares_3
P_INSEG_LUGARES_4,emper_p_inseg_lugares_4
P_INSEG_LUGARES_5,emper_p_inseg_lugares_5
P_INSEG_LUGARES_6,emper_p_inseg_lugares_6
P_INSEG_LUGARES_7,emper_p_inseg_lugares_7
P_INSEG_LUGARES_8,emper_p_inseg_lugares_8
P_INSEG_LUGARES_9,emper_p_inseg_lugares_9
P_INSEG_LUGARES_10,emper_p_inseg_lugares_10
P_INSEG_LUGARES_11,emper_p_inseg_lugares_11
P_INSEG_LUGARES_12,emper_p_inseg_lugares_12
P_INSEG_LUGARES_13,emper_p_inseg_lugares_13
P_INSEG_LUGARES_14,emper_p_inseg_lugares_14
P_INSEG_LUGARES_15,emper_p_inseg_lugares_15
P_INSEG_LUGARES_16,emper_p_inseg_lugares_16
P_INSEG_OSCURO_1,emper_p_inseg_oscuro_1
P_INSEG_DIA_1,emper_p_inseg_dia_1
P_INSEG_OSCURO_2,emper_p_inseg_oscuro_2
P_INSEG_DIA_2,emper_p_inseg_dia_2
P_EXPOS_DELITO,perper_p_expos_delito
P_DELITO_PRONOSTICO__1,perper_p_delito_pronostico_1
P_DELITO_PRONOSTICO__2,perper_p_delito_pronostico_2
P_DELITO_PRONOSTICO__3,perper_p_delito_pronostico_3
P_DELITO_PRONOSTICO__4,perper_p_delito_pronostico_4
P_DELITO_PRONOSTICO__5,perper_p_delito_pronostico_5
P_DELITO_PRONOSTICO__6,perper_p_delito_pronostico_6
P_DELITO_PRONOSTICO__7,perper_p_delito_pronostico_7
P_DELITO_PRONOSTICO__8,perper_p_delito_pronostico_8
P_DELITO_PRONOSTICO__9,perper_p_delito_pronostico_9
P_DELITO_PRONOSTICO__10,perper_p_delito_pronostico_10
