familia,variable,original,etiqueta,categorias,construida_desde,uso
Original,emper_p_inseg_lugares_1,P_INSEG_LUGARES_1,"Durante los últimos doce meses, según su experiencia, ¿qué tan seguro/a se siente...? Trasladándose en su vehículo",1 = Muy inseguro/a; 2 = Inseguro/a; 3 = Seguro/a; 4 = Muy seguro/a; 85 = No aplica; 88 = No sabe; 96 = Sin dato; 99 = No responde,NA,emper_ep_pct
Original,emper_p_inseg_lugares_2,P_INSEG_LUGARES_2,"Durante los últimos doce meses, según su experiencia, ¿qué tan seguro/a se siente...? Esperando transporte público",1 = Muy inseguro/a; 2 = Inseguro/a; 3 = Seguro/a; 4 = Muy seguro/a; 85 = No aplica; 88 = No sabe; 96 = Sin dato; 99 = No responde,NA,emper_ep_pct
Original,emper_p_inseg_lugares_3,P_INSEG_LUGARES_3,"Durante los últimos doce meses, según su experiencia, ¿qué tan seguro/a se siente...? Trasladándose en buses o micros de transporte público",1 = Muy inseguro/a; 2 = Inseguro/a; 3 = Seguro/a; 4 = Muy seguro/a; 85 = No aplica; 88 = No sabe; 96 = Sin dato; 99 = No responde,NA,emper_ep_pct
Original,emper_p_inseg_lugares_4,P_INSEG_LUGARES_4,"Durante los últimos doce meses, según su experiencia, ¿qué tan seguro/a se siente...? Trasladándose en taxis o colectivos",1 = Muy inseguro/a; 2 = Inseguro/a; 3 = Seguro/a; 4 = Muy seguro/a; 85 = No aplica; 88 = No sabe; 96 = Sin dato; 99 = No responde,NA,emper_ep_pct
Original,emper_p_inseg_lugares_5,P_INSEG_LUGARES_5,"Durante los últimos doce meses, según su experiencia, ¿qué tan seguro/a se siente...? Trasladándose en vehículos de aplicación, tales como Uber, Cabify, Didi o similar",1 = Muy inseguro/a; 2 = Inseguro/a; 3 = Seguro/a; 4 = Muy seguro/a; 85 = No aplica; 88 = No sabe; 96 = Sin dato; 99 = No responde,NA,emper_ep_pct
Original,emper_p_inseg_lugares_6,P_INSEG_LUGARES_6,"Durante los últimos doce meses, según su experiencia, ¿qué tan seguro/a se siente...? Trasladándose en Metro, Biotrén, Merval o Metrotren",1 = Muy inseguro/a; 2 = Inseguro/a; 3 = Seguro/a; 4 = Muy seguro/a; 85 = No aplica; 88 = No sabe; 96 = Sin dato; 99 = No responde,NA,emper_ep_pct
Original,emper_p_inseg_lugares_7,P_INSEG_LUGARES_7,"Durante los últimos doce meses, según su experiencia, ¿qué tan seguro/a se siente...? En un restaurante, bar, pub, café, discoteque u otro lugar de recreación",1 = Muy inseguro/a; 2 = Inseguro/a; 3 = Seguro/a; 4 = Muy seguro/a; 85 = No aplica; 88 = No sabe; 96 = Sin dato; 99 = No responde,NA,emper_ep_pct
Original,emper_p_inseg_lugares_8,P_INSEG_LUGARES_8,"Durante los últimos doce meses, según su experiencia, ¿qué tan seguro/a se siente...? En un terminal de buses o ferrocarriles",1 = Muy inseguro/a; 2 = Inseguro/a; 3 = Seguro/a; 4 = Muy seguro/a; 85 = No aplica; 88 = No sabe; 96 = Sin dato; 99 = No responde,NA,emper_ep_pct
Original,emper_p_inseg_lugares_9,P_INSEG_LUGARES_9,"Durante los últimos doce meses, según su experiencia, ¿qué tan seguro/a se siente...? En un terminal aéreo o aeropuerto",1 = Muy inseguro/a; 2 = Inseguro/a; 3 = Seguro/a; 4 = Muy seguro/a; 85 = No aplica; 88 = No sabe; 96 = Sin dato; 99 = No responde,NA,emper_ep_pct
Original,emper_p_inseg_lugares_10,P_INSEG_LUGARES_10,"Durante los últimos doce meses, según su experiencia, ¿qué tan seguro/a se siente...? En centros comerciales o malls",1 = Muy inseguro/a; 2 = Inseguro/a; 3 = Seguro/a; 4 = Muy seguro/a; 85 = No aplica; 88 = No sabe; 96 = Sin dato; 99 = No responde,NA,emper_ep_pct
Original,emper_p_inseg_lugares_11,P_INSEG_LUGARES_11,"Durante los últimos doce meses, según su experiencia, ¿qué tan seguro/a se siente...? En una bencinera o servicentro",1 = Muy inseguro/a; 2 = Inseguro/a; 3 = Seguro/a; 4 = Muy seguro/a; 85 = No aplica; 88 = No sabe; 96 = Sin dato; 99 = No responde,NA,emper_ep_pct
Original,emper_p_inseg_lugares_12,P_INSEG_LUGARES_12,"Durante los últimos doce meses, según su experiencia, ¿qué tan seguro/a se siente...? En plazas o parques de su barrio",1 = Muy inseguro/a; 2 = Inseguro/a; 3 = Seguro/a; 4 = Muy seguro/a; 85 = No aplica; 88 = No sabe; 96 = Sin dato; 99 = No responde,NA,No se usa
Original,emper_p_inseg_lugares_13,P_INSEG_LUGARES_13,"Durante los últimos doce meses, según su experiencia, ¿qué tan seguro/a se siente...? En comercios de su barrio",1 = Muy inseguro/a; 2 = Inseguro/a; 3 = Seguro/a; 4 = Muy seguro/a; 85 = No aplica; 88 = No sabe; 96 = Sin dato; 99 = No responde,NA,No se usa
Original,emper_p_inseg_lugares_14,P_INSEG_LUGARES_14,"Durante los últimos doce meses, según su experiencia, ¿qué tan seguro/a se siente...? En su lugar de trabajo",1 = Muy inseguro/a; 2 = Inseguro/a; 3 = Seguro/a; 4 = Muy seguro/a; 85 = No aplica; 88 = No sabe; 96 = Sin dato; 99 = No responde,NA,No se usa
Original,emper_p_inseg_lugares_15,P_INSEG_LUGARES_15,"Durante los últimos doce meses, según su experiencia, ¿qué tan seguro/a se siente...? En su lugar de estudio",1 = Muy inseguro/a; 2 = Inseguro/a; 3 = Seguro/a; 4 = Muy seguro/a; 85 = No aplica; 88 = No sabe; 96 = Sin dato; 99 = No responde,NA,No se usa
