dimension,pregunta,categoria,variable,val,label,frq,raw.prc,valid.prc,cum.prc
emper,"Durante los últimos doce meses, según su experiencia, ¿qué tan seguro/a se siente...",Trasladándose en su vehículo,emper_p_inseg_lugares_1,1,Muy inseguro/a,784756,5.9,5.9,5.9
emper,"Durante los últimos doce meses, según su experiencia, ¿qué tan seguro/a se siente...",Trasladándose en su vehículo,emper_p_inseg_lugares_1,2,Inseguro/a,3248068,24.43,24.43,30.33
emper,"Durante los últimos doce meses, según su experiencia, ¿qué tan seguro/a se siente...",Trasladándose en su vehículo,emper_p_inseg_lugares_1,3,Seguro/a,3957208,29.76,29.76,60.09
emper,"Durante los últimos doce meses, según su experiencia, ¿qué tan seguro/a se siente...",Trasladándose en su vehículo,emper_p_inseg_lugares_1,4,Muy seguro/a,547710,4.12,4.12,64.21
emper,"Durante los últimos doce meses, según su experiencia, ¿qué tan seguro/a se siente...",Trasladándose en su vehículo,emper_p_inseg_lugares_1,85,No aplica,4732431,35.59,35.59,99.81
emper,"Durante los últimos doce meses, según su experiencia, ¿qué tan seguro/a se siente...",Trasladándose en su vehículo,emper_p_inseg_lugares_1,88,No sabe,17689,0.13,0.13,99.94
emper,"Durante los últimos doce meses, según su experiencia, ¿qué tan seguro/a se siente...",Trasladándose en su vehículo,emper_p_inseg_lugares_1,96,Sin dato,0,0,0,99.94
emper,"Durante los últimos doce meses, según su experiencia, ¿qué tan seguro/a se siente...",Trasladándose en su vehículo,emper_p_inseg_lugares_1,99,No responde,8195,0.06,0.06,100
emper,"Durante los últimos doce meses, según su experiencia, ¿qué tan seguro/a se siente...",Esperando transporte público,emper_p_inseg_lugares_2,1,Muy inseguro/a,1288853,9.69,9.69,9.69
emper,"Durante los últimos doce meses, según su experiencia, ¿qué tan seguro/a se siente...",Esperando transporte público,emper_p_inseg_lugares_2,2,Inseguro/a,5269945,39.64,39.64,49.33
emper,"Durante los últimos doce meses, según su experiencia, ¿qué tan seguro/a se siente...",Esperando transporte público,emper_p_inseg_lugares_2,3,Seguro/a,4146067,31.18,31.18,80.51
emper,"Durante los últimos doce meses, según su experiencia, ¿qué tan seguro/a se siente...",Esperando transporte público,emper_p_inseg_lugares_2,4,Muy seguro/a,255512,1.92,1.92,82.43
emper,"Durante los últimos doce meses, según su experiencia, ¿qué tan seguro/a se siente...",Esperando transporte público,emper_p_inseg_lugares_2,85,No aplica,2300377,17.3,17.3,99.73
