variable,val,label,frq,raw.prc,valid.prc,cum.prc
rph_sexo,1,Hombre,6455760,48.55,48.55,48.55
rph_sexo,2,Mujer,6840298,51.45,51.45,100
rph_nivel_rec,1,Educación básica o menos,1603714,12.06,12.06,12.06
rph_nivel_rec,2,Educación secundaria,5579658,41.96,41.96,54.03
rph_nivel_rec,3,Educación terciaria,6059687,45.58,45.58,99.6
rph_nivel_rec,96,Sin dato,32299,0.24,0.24,99.84
rph_nivel_rec,99,Nivel ignorado,20699,0.16,0.16,100
rph_edad_rec,1,0 a 29 años,3315823,24.94,24.94,24.94
rph_edad_rec,2,30 a 59 años,6892304,51.84,51.84,76.78
rph_edad_rec,3,60 años o más,3087931,23.22,23.22,100
rph_nse,1,Bajo,5461080,41.07,41.07,41.07
rph_nse,2,Medio,5319436,40.01,40.01,81.08
rph_nse,3,Alto,2515542,18.92,18.92,100
enc_region_rec,1,Zona norte,1735968,13.06,13.06,13.06
enc_region_rec,2,Zona centro,4120618,30.99,30.99,44.05
enc_region_rec,3,Zona sur,859443,6.46,6.46,50.51
enc_region_rec,4,Zona metropolitana,6580029,49.49,49.49,100
vp_dc,0,No,9747402,73.31,73.31,73.31
vp_dc,1,Sí,3548656,26.69,26.69,100
vp_dc,96,Sin dato,0,0,0,100
vp_dv,0,No,12599850,94.76,94.76,94.76
vp_dv,1,Sí,696208,5.24,5.24,100
vp_dv,96,Sin dato,0,0,0,100
desordenes_ind_rec,1,Baja percepción de desordenes,3828471,28.84,28.84,28.84
desordenes_ind_rec,2,Media percepción de desordenes,3999377,30.12,30.12,58.96
desordenes_ind_rec,3,Alta percepción de desordenes,5449296,41.04,41.04,100
incivilidades_ind_rec,1,Baja percepción de incivilidades,3291585,24.81,24.81,24.81
incivilidades_ind_rec,2,Media percepción de incivilidades,4788733,36.1,36.1,60.91
incivilidades_ind_rec,3,Alta percepción de incivilidades,5184718,39.09,39.09,100
p_aumento_pais,1,Aumentó,11017721,82.86,82.86,82.86
p_aumento_pais,2,Se mantuvo,1910607,14.37,14.37,97.23
p_aumento_pais,3,Disminuyó,285860,2.15,2.15,99.38
p_aumento_pais,88,No sabe,77880,0.59,0.59,99.97
p_aumento_pais,96,Sin dato,0,0,0,99.97
p_aumento_pais,99,No responde,3990,0.03,0.03,100
p_aumento_com,1,Aumentó,9375075,70.51,70.51,70.51
p_aumento_com,2,Se mantuvo,3226996,24.27,24.27,94.78
p_aumento_com,3,Disminuyó,473732,3.56,3.56,98.34
p_aumento_com,88,No sabe,214812,1.62,1.62,99.96
p_aumento_com,96,Sin dato,0,0,0,99.96
p_aumento_com,99,No responde,5444,0.04,0.04,100
p_aumento_barrio,1,Aumentó,6272481,47.18,47.18,47.18
p_aumento_barrio,2,Se mantuvo,5827715,43.83,43.83,91.01
p_aumento_barrio,3,Disminuyó,968916,7.29,7.29,98.29
p_aumento_barrio,88,No sabe,218625,1.64,1.64,99.94
p_aumento_barrio,96,Sin dato,0,0,0,99.94
p_aumento_barrio,99,No responde,8321,0.06,0.06,100
info_exp_personal,0,No se informa por experiencia personal,10230366,76.94,76.94,76.94
info_exp_personal,1,Se informa por experiencia personal,3050525,22.94,22.94,99.89
info_exp_personal,88,No sabe,13789,0.1,0.1,99.99
info_exp_personal,99,No responde,1378,0.01,0.01,100
info_otras_personas,0,No se informa por otras personas,5636625,42.39,42.39,42.39
info_otras_personas,1,Se informa por otras personas,7644266,57.49,57.49,99.89
info_otras_personas,88,No sabe,13789,0.1,0.1,99.99
info_otras_personas,99,No responde,1378,0.01,0.01,100
info_rrss,0,No se informa por RRSS,5649284,42.49,42.49,42.49
info_rrss,1,Se informa por RRSS,7631608,57.4,57.4,99.89
info_rrss,88,No sabe,13789,0.1,0.1,99.99
info_rrss,99,No responde,1378,0.01,0.01,100
info_prensa,0,No se informa por prensa,5167184,38.86,38.86,38.86
info_prensa,1,Se informa por prensa,8113707,61.02,61.02,99.89
info_prensa,88,No sabe,13789,0.1,0.1,99.99
info_prensa,99,No responde,1378,0.01,0.01,100
info_tv,0,No se informa por noticias,6704142,50.42,50.42,50.42
info_tv,1,Se informa por noticias,6576750,49.46,49.46,99.89
info_tv,88,No sabe,13789,0.1,0.1,99.99
info_tv,99,No responde,1378,0.01,0.01,100
