variable,val,label,frq,raw.prc,valid.prc,cum.prc
clusters_6,C1,<none>,2503950,20.9,20.9,20.9
clusters_6,C2,<none>,670155,5.59,5.59,26.5
clusters_6,C3,<none>,1518261,12.68,12.68,39.17
clusters_6,C4,<none>,2813680,23.49,23.49,62.66
clusters_6,C5,<none>,1917832,16.01,16.01,78.67
clusters_6,C6,<none>,2554506,21.33,21.33,100
clusters_5,C1,<none>,2503950,20.9,20.9,20.9
clusters_5,C2,<none>,670155,5.59,5.59,26.5
clusters_5,C3,<none>,4331941,36.16,36.16,62.66
clusters_5,C4,<none>,1917832,16.01,16.01,78.67
clusters_5,C5,<none>,2554506,21.33,21.33,100
clusters_4,C1,<none>,2503950,20.9,20.9,20.9
clusters_4,C2,<none>,670155,5.59,5.59,26.5
clusters_4,C3,<none>,6249773,52.18,52.18,78.67
clusters_4,C4,<none>,2554506,21.33,21.33,100
