grupo_variable,variable,clusters_5,val,label,frq,prop
fuente,emper_ep_pct_cat,C1,1,Sin inseguridad en espacio público,1457071,58.19
fuente,emper_ep_pct_cat,C1,2,Inseguridad en hasta la mitad de los lugares,914419,36.52
fuente,emper_ep_pct_cat,C1,3,Inseguridad en más de la mitad de los lugares,132460,5.29
fuente,emper_ep_pct_cat,C2,1,Sin inseguridad en espacio público,146781,21.9
fuente,emper_ep_pct_cat,C2,2,Inseguridad en hasta la mitad de los lugares,299640,44.71
fuente,emper_ep_pct_cat,C2,3,Inseguridad en más de la mitad de los lugares,223734,33.39
fuente,emper_ep_pct_cat,C3,1,Sin inseguridad en espacio público,220319,5.09
fuente,emper_ep_pct_cat,C3,2,Inseguridad en hasta la mitad de los lugares,3153352,72.79
fuente,emper_ep_pct_cat,C3,3,Inseguridad en más de la mitad de los lugares,958271,22.12
fuente,emper_ep_pct_cat,C4,1,Sin inseguridad en espacio público,76312,3.98
fuente,emper_ep_pct_cat,C4,2,Inseguridad en hasta la mitad de los lugares,615481,32.09
fuente,emper_ep_pct_cat,C4,3,Inseguridad en más de la mitad de los lugares,1226039,63.93
fuente,emper_ep_pct_cat,C5,1,Sin inseguridad en espacio público,46572,1.82
fuente,emper_ep_pct_cat,C5,2,Inseguridad en hasta la mitad de los lugares,373748,14.63
fuente,emper_ep_pct_cat,C5,3,Inseguridad en más de la mitad de los lugares,2134186,83.55
fuente,emper_barrio_pct_cat,C1,1,Sin inseguridad en el barrio,2186949,87.34
fuente,emper_barrio_pct_cat,C1,2,"Inseguridad en el barrio, de día o de noche",293735,11.73
fuente,emper_barrio_pct_cat,C1,3,"Inseguridad en el barrio, de día y de noche",23265,0.93
fuente,emper_barrio_pct_cat,C2,1,Sin inseguridad en el barrio,249820,37.28
fuente,emper_barrio_pct_cat,C2,2,"Inseguridad en el barrio, de día o de noche",268126,40.01
fuente,emper_barrio_pct_cat,C2,3,"Inseguridad en el barrio, de día y de noche",152209,22.71
fuente,emper_barrio_pct_cat,C3,1,Sin inseguridad en el barrio,1042050,24.06
fuente,emper_barrio_pct_cat,C3,2,"Inseguridad en el barrio, de día o de noche",2777993,64.13
fuente,emper_barrio_pct_cat,C3,3,"Inseguridad en el barrio, de día y de noche",511898,11.82
fuente,emper_barrio_pct_cat,C4,1,Sin inseguridad en el barrio,144323,7.53
fuente,emper_barrio_pct_cat,C4,2,"Inseguridad en el barrio, de día o de noche",1381940,72.06
fuente,emper_barrio_pct_cat,C4,3,"Inseguridad en el barrio, de día y de noche",391570,20.42
fuente,emper_barrio_pct_cat,C5,1,Sin inseguridad en el barrio,97530,3.82
fuente,emper_barrio_pct_cat,C5,2,"Inseguridad en el barrio, de día o de noche",397248,15.55
fuente,emper_barrio_pct_cat,C5,3,"Inseguridad en el barrio, de día y de noche",2059727,80.63
fuente,emper_casa_pct_cat,C1,1,Sin inseguridad en la casa,2475735,98.87
fuente,emper_casa_pct_cat,C1,2,"Inseguridad en la casa, de día o de noche",23081,0.92
fuente,emper_casa_pct_cat,C1,3,"Inseguridad en la casa, de día y de noche",5133,0.2
fuente,emper_casa_pct_cat,C2,1,Sin inseguridad en la casa,538401,80.34
fuente,emper_casa_pct_cat,C2,2,"Inseguridad en la casa, de día o de noche",79442,11.85
fuente,emper_casa_pct_cat,C2,3,"Inseguridad en la casa, de día y de noche",52312,7.81
fuente,emper_casa_pct_cat,C3,1,Sin inseguridad en la casa,4090442,94.43
fuente,emper_casa_pct_cat,C3,2,"Inseguridad en la casa, de día o de noche",171264,3.95
fuente,emper_casa_pct_cat,C3,3,"Inseguridad en la casa, de día y de noche",70236,1.62
fuente,emper_casa_pct_cat,C4,1,Sin inseguridad en la casa,715709,37.32
fuente,emper_casa_pct_cat,C4,2,"Inseguridad en la casa, de día o de noche",1190105,62.05
fuente,emper_casa_pct_cat,C4,3,"Inseguridad en la casa, de día y de noche",12018,0.63
fuente,emper_casa_pct_cat,C5,1,Sin inseguridad en la casa,1459720,57.14
fuente,emper_casa_pct_cat,C5,2,"Inseguridad en la casa, de día o de noche",140238,5.49
fuente,emper_casa_pct_cat,C5,3,"Inseguridad en la casa, de día y de noche",954548,37.37
fuente,perper_delito,C1,1,No cree que será victima de delito,2203991,88.02
fuente,perper_delito,C1,2,Cree que será victima de delito no violento,133181,5.32
fuente,perper_delito,C1,3,Cree que será victima de delito violento,166029,6.63
fuente,perper_delito,C1,5,Cree que será victima de otro tipo de delito,748,0.03
fuente,perper_delito,C2,1,No cree que será victima de delito,347194,51.81
fuente,perper_delito,C2,2,Cree que será victima de delito no violento,127915,19.09
fuente,perper_delito,C2,3,Cree que será victima de delito violento,195047,29.1
fuente,perper_delito,C3,1,No cree que será victima de delito,1857321,42.88
fuente,perper_delito,C3,2,Cree que será victima de delito no violento,686236,15.84
fuente,perper_delito,C3,3,Cree que será victima de delito violento,1788384,41.28
fuente,perper_delito,C4,1,No cree que será victima de delito,498917,26.01
fuente,perper_delito,C4,2,Cree que será victima de delito no violento,1051292,54.82
fuente,perper_delito,C4,3,Cree que será victima de delito violento,352133,18.36
fuente,perper_delito,C4,5,Cree que será victima de otro tipo de delito,15491,0.81
fuente,perper_delito,C5,1,No cree que será victima de delito,460001,18.01
fuente,perper_delito,C5,2,Cree que será victima de delito no violento,860314,33.68
fuente,perper_delito,C5,3,Cree que será victima de delito violento,1234191,48.31
fuente,comper_pct_cat,C1,1,No modificó prácticas,1186602,47.39
fuente,comper_pct_cat,C1,2,Modificó hasta la mitad de las prácticas,1194065,47.69
fuente,comper_pct_cat,C1,3,Modificó más de la mitad de las prácticas,123283,4.92
fuente,comper_pct_cat,C2,1,No modificó prácticas,136011,20.3
fuente,comper_pct_cat,C2,2,Modificó hasta la mitad de las prácticas,344068,51.34
fuente,comper_pct_cat,C2,3,Modificó más de la mitad de las prácticas,190076,28.36
fuente,comper_pct_cat,C3,1,No modificó prácticas,146213,3.38
fuente,comper_pct_cat,C3,2,Modificó hasta la mitad de las prácticas,3188657,73.61
fuente,comper_pct_cat,C3,3,Modificó más de la mitad de las prácticas,997072,23.02
fuente,comper_pct_cat,C4,1,No modificó prácticas,52457,2.74
fuente,comper_pct_cat,C4,2,Modificó hasta la mitad de las prácticas,586093,30.56
fuente,comper_pct_cat,C4,3,Modificó más de la mitad de las prácticas,1279282,66.7
fuente,comper_pct_cat,C5,1,No modificó prácticas,65991,2.58
fuente,comper_pct_cat,C5,2,Modificó hasta la mitad de las prácticas,501204,19.62
fuente,comper_pct_cat,C5,3,Modificó más de la mitad de las prácticas,1987310,77.8
fuente,comper_gasto,C1,0,No gasta en medidas de seguridad,1380968,55.15
fuente,comper_gasto,C1,1,Gasta en medidas de seguridad,1122982,44.85
fuente,comper_gasto,C2,0,No gasta en medidas de seguridad,555959,82.96
fuente,comper_gasto,C2,1,Gasta en medidas de seguridad,114197,17.04
fuente,comper_gasto,C3,0,No gasta en medidas de seguridad,1698685,39.21
fuente,comper_gasto,C3,1,Gasta en medidas de seguridad,2633256,60.79
fuente,comper_gasto,C4,0,No gasta en medidas de seguridad,962913,50.21
fuente,comper_gasto,C4,1,Gasta en medidas de seguridad,954919,49.79
fuente,comper_gasto,C5,0,No gasta en medidas de seguridad,1139730,44.62
fuente,comper_gasto,C5,1,Gasta en medidas de seguridad,1414776,55.38
fuente,comgen_per_cat,C1,1,Sin medidas en la vivienda,141967,5.67
fuente,comgen_per_cat,C1,2,Una o dos medidas en la vivienda,1524073,60.87
fuente,comgen_per_cat,C1,3,Tres o más medidas en la vivienda,837910,33.46
fuente,comgen_per_cat,C2,1,Sin medidas en la vivienda,670155,100
fuente,comgen_per_cat,C3,1,Sin medidas en la vivienda,71577,1.65
fuente,comgen_per_cat,C3,2,Una o dos medidas en la vivienda,1851898,42.75
fuente,comgen_per_cat,C3,3,Tres o más medidas en la vivienda,2408466,55.6
fuente,comgen_per_cat,C4,1,Sin medidas en la vivienda,34104,1.78
fuente,comgen_per_cat,C4,2,Una o dos medidas en la vivienda,1148759,59.9
fuente,comgen_per_cat,C4,3,Tres o más medidas en la vivienda,734969,38.32
fuente,comgen_per_cat,C5,1,Sin medidas en la vivienda,63694,2.49
fuente,comgen_per_cat,C5,2,Una o dos medidas en la vivienda,1479310,57.91
fuente,comgen_per_cat,C5,3,Tres o más medidas en la vivienda,1011502,39.6
fuente,comgen_com_cat,C1,1,Sin medidas en el barrio,739963,29.55
fuente,comgen_com_cat,C1,2,Una medida en el barrio,779061,31.11
fuente,comgen_com_cat,C1,3,Dos o más medidas en el barrio,984925,39.33
fuente,comgen_com_cat,C2,1,Sin medidas en el barrio,351974,52.52
fuente,comgen_com_cat,C2,3,Dos o más medidas en el barrio,318181,47.48
fuente,comgen_com_cat,C3,1,Sin medidas en el barrio,867646,20.03
fuente,comgen_com_cat,C3,2,Una medida en el barrio,1049676,24.23
fuente,comgen_com_cat,C3,3,Dos o más medidas en el barrio,2414618,55.74
fuente,comgen_com_cat,C4,1,Sin medidas en el barrio,465684,24.28
fuente,comgen_com_cat,C4,2,Una medida en el barrio,727364,37.93
fuente,comgen_com_cat,C4,3,Dos o más medidas en el barrio,724785,37.79
fuente,comgen_com_cat,C5,1,Sin medidas en el barrio,600847,23.52
fuente,comgen_com_cat,C5,2,Una medida en el barrio,770260,30.15
fuente,comgen_com_cat,C5,3,Dos o más medidas en el barrio,1183399,46.33
secundaria,rph_sexo,C1,1,Hombre,1572804,62.81
secundaria,rph_sexo,C1,2,Mujer,931146,37.19
secundaria,rph_sexo,C2,1,Hombre,326428,48.71
secundaria,rph_sexo,C2,2,Mujer,343728,51.29
secundaria,rph_sexo,C3,1,Hombre,2231126,51.5
secundaria,rph_sexo,C3,2,Mujer,2100815,48.5
secundaria,rph_sexo,C4,1,Hombre,774871,40.4
secundaria,rph_sexo,C4,2,Mujer,1142962,59.6
secundaria,rph_sexo,C5,1,Hombre,975224,38.18
secundaria,rph_sexo,C5,2,Mujer,1579281,61.82
secundaria,rph_nivel_rec,C1,1,Educación básica o menos,328389,13.11
secundaria,rph_nivel_rec,C1,2,Educación secundaria,1046717,41.8
secundaria,rph_nivel_rec,C1,3,Educación terciaria,1118470,44.67
secundaria,rph_nivel_rec,C1,96,Sin dato,6684,0.27
secundaria,rph_nivel_rec,C1,99,Nivel ignorado,3690,0.15
secundaria,rph_nivel_rec,C2,1,Educación básica o menos,107284,16.01
secundaria,rph_nivel_rec,C2,2,Educación secundaria,293966,43.87
secundaria,rph_nivel_rec,C2,3,Educación terciaria,265195,39.57
secundaria,rph_nivel_rec,C2,96,Sin dato,1878,0.28
secundaria,rph_nivel_rec,C2,99,Nivel ignorado,1832,0.27
secundaria,rph_nivel_rec,C3,1,Educación básica o menos,375549,8.67
secundaria,rph_nivel_rec,C3,2,Educación secundaria,1708369,39.44
secundaria,rph_nivel_rec,C3,3,Educación terciaria,2232762,51.54
secundaria,rph_nivel_rec,C3,96,Sin dato,9661,0.22
secundaria,rph_nivel_rec,C3,99,Nivel ignorado,5600,0.13
secundaria,rph_nivel_rec,C4,1,Educación básica o menos,242122,12.62
secundaria,rph_nivel_rec,C4,2,Educación secundaria,814250,42.46
secundaria,rph_nivel_rec,C4,3,Educación terciaria,854139,44.54
secundaria,rph_nivel_rec,C4,96,Sin dato,4609,0.24
secundaria,rph_nivel_rec,C4,99,Nivel ignorado,2712,0.14
secundaria,rph_nivel_rec,C5,1,Educación básica o menos,305795,11.97
secundaria,rph_nivel_rec,C5,2,Educación secundaria,1113605,43.59
secundaria,rph_nivel_rec,C5,3,Educación terciaria,1125121,44.04
secundaria,rph_nivel_rec,C5,96,Sin dato,5893,0.23
secundaria,rph_nivel_rec,C5,99,Nivel ignorado,4091,0.16
secundaria,rph_edad_rec,C1,1,0 a 29 años,684107,27.32
secundaria,rph_edad_rec,C1,2,30 a 59 años,1203194,48.05
secundaria,rph_edad_rec,C1,3,60 años o más,616649,24.63
secundaria,rph_edad_rec,C2,1,0 a 29 años,171587,25.6
secundaria,rph_edad_rec,C2,2,30 a 59 años,350755,52.34
secundaria,rph_edad_rec,C2,3,60 años o más,147813,22.06
secundaria,rph_edad_rec,C3,1,0 a 29 años,1315309,30.36
secundaria,rph_edad_rec,C3,2,30 a 59 años,2247623,51.88
secundaria,rph_edad_rec,C3,3,60 años o más,769009,17.75
secundaria,rph_edad_rec,C4,1,0 a 29 años,385897,20.12
secundaria,rph_edad_rec,C4,2,30 a 59 años,1067480,55.66
secundaria,rph_edad_rec,C4,3,60 años o más,464455,24.22
secundaria,rph_edad_rec,C5,1,0 a 29 años,425921,16.67
secundaria,rph_edad_rec,C5,2,30 a 59 años,1509153,59.08
secundaria,rph_edad_rec,C5,3,60 años o más,619431,24.25
secundaria,rph_nse,C1,1,Bajo,1022724,40.84
secundaria,rph_nse,C1,2,Medio,946576,37.8
secundaria,rph_nse,C1,3,Alto,534649,21.35
secundaria,rph_nse,C2,1,Bajo,323836,48.32
secundaria,rph_nse,C2,2,Medio,241856,36.09
secundaria,rph_nse,C2,3,Alto,104463,15.59
secundaria,rph_nse,C3,1,Bajo,1547811,35.73
secundaria,rph_nse,C3,2,Medio,1791442,41.35
secundaria,rph_nse,C3,3,Alto,992688,22.92
secundaria,rph_nse,C4,1,Bajo,827930,43.17
secundaria,rph_nse,C4,2,Medio,772115,40.26
secundaria,rph_nse,C4,3,Alto,317788,16.57
secundaria,rph_nse,C5,1,Bajo,1139363,44.6
secundaria,rph_nse,C5,2,Medio,1054088,41.26
secundaria,rph_nse,C5,3,Alto,361055,14.13
secundaria,enc_region_rec,C1,1,Zona norte,330607,13.2
secundaria,enc_region_rec,C1,2,Zona centro,890392,35.56
secundaria,enc_region_rec,C1,3,Zona sur,277256,11.07
secundaria,enc_region_rec,C1,4,Zona metropolitana,1005695,40.16
secundaria,enc_region_rec,C2,1,Zona norte,132636,19.79
secundaria,enc_region_rec,C2,2,Zona centro,224278,33.47
secundaria,enc_region_rec,C2,3,Zona sur,79203,11.82
secundaria,enc_region_rec,C2,4,Zona metropolitana,234038,34.92
secundaria,enc_region_rec,C3,1,Zona norte,508786,11.74
secundaria,enc_region_rec,C3,2,Zona centro,1259056,29.06
secundaria,enc_region_rec,C3,3,Zona sur,218807,5.05
secundaria,enc_region_rec,C3,4,Zona metropolitana,2345292,54.14
secundaria,enc_region_rec,C4,1,Zona norte,277225,14.46
secundaria,enc_region_rec,C4,2,Zona centro,667504,34.81
secundaria,enc_region_rec,C4,3,Zona sur,113209,5.9
secundaria,enc_region_rec,C4,4,Zona metropolitana,859895,44.84
secundaria,enc_region_rec,C5,1,Zona norte,309317,12.11
secundaria,enc_region_rec,C5,2,Zona centro,622609,24.37
secundaria,enc_region_rec,C5,3,Zona sur,83171,3.26
secundaria,enc_region_rec,C5,4,Zona metropolitana,1539409,60.26
secundaria,vp_dc,C1,0,No,2113005,84.39
secundaria,vp_dc,C1,1,Sí,390945,15.61
secundaria,vp_dc,C2,0,No,506278,75.55
secundaria,vp_dc,C2,1,Sí,163877,24.45
secundaria,vp_dc,C3,0,No,3074350,70.97
secundaria,vp_dc,C3,1,Sí,1257591,29.03
secundaria,vp_dc,C4,0,No,1309945,68.3
secundaria,vp_dc,C4,1,Sí,607887,31.7
secundaria,vp_dc,C5,0,No,1706122,66.79
secundaria,vp_dc,C5,1,Sí,848383,33.21
secundaria,vp_dv,C1,0,No,2439497,97.43
secundaria,vp_dv,C1,1,Sí,64453,2.57
secundaria,vp_dv,C2,0,No,629374,93.91
secundaria,vp_dv,C2,1,Sí,40782,6.09
secundaria,vp_dv,C3,0,No,4098166,94.6
secundaria,vp_dv,C3,1,Sí,233775,5.4
secundaria,vp_dv,C4,0,No,1800965,93.91
secundaria,vp_dv,C4,1,Sí,116867,6.09
secundaria,vp_dv,C5,0,No,2368182,92.71
secundaria,vp_dv,C5,1,Sí,186324,7.29
secundaria,desordenes_ind_rec,C1,1,Baja percepción de desordenes,1186500,47.39
secundaria,desordenes_ind_rec,C1,2,Media percepción de desordenes,774822,30.94
secundaria,desordenes_ind_rec,C1,3,Alta percepción de desordenes,540688,21.59
secundaria,desordenes_ind_rec,C1,NA,NA,1939,0.08
secundaria,desordenes_ind_rec,C2,1,Baja percepción de desordenes,234120,34.94
secundaria,desordenes_ind_rec,C2,2,Media percepción de desordenes,198783,29.66
secundaria,desordenes_ind_rec,C2,3,Alta percepción de desordenes,236530,35.29
secundaria,desordenes_ind_rec,C2,NA,NA,723,0.11
secundaria,desordenes_ind_rec,C3,1,Baja percepción de desordenes,1138176,26.27
secundaria,desordenes_ind_rec,C3,2,Media percepción de desordenes,1441225,33.27
secundaria,desordenes_ind_rec,C3,3,Alta percepción de desordenes,1751066,40.42
secundaria,desordenes_ind_rec,C3,NA,NA,1474,0.03
secundaria,desordenes_ind_rec,C4,1,Baja percepción de desordenes,429107,22.37
secundaria,desordenes_ind_rec,C4,2,Media percepción de desordenes,573212,29.89
secundaria,desordenes_ind_rec,C4,3,Alta percepción de desordenes,915216,47.72
secundaria,desordenes_ind_rec,C4,NA,NA,298,0.02
secundaria,desordenes_ind_rec,C5,1,Baja percepción de desordenes,371949,14.56
secundaria,desordenes_ind_rec,C5,2,Media percepción de desordenes,623803,24.42
secundaria,desordenes_ind_rec,C5,3,Alta percepción de desordenes,1558075,60.99
secundaria,desordenes_ind_rec,C5,NA,NA,679,0.03
secundaria,incivilidades_ind_rec,C1,1,Baja percepción de incivilidades,1164220,46.5
secundaria,incivilidades_ind_rec,C1,2,Media percepción de incivilidades,926342,37
secundaria,incivilidades_ind_rec,C1,3,Alta percepción de incivilidades,410706,16.4
secundaria,incivilidades_ind_rec,C1,NA,NA,2682,0.11
secundaria,incivilidades_ind_rec,C2,1,Baja percepción de incivilidades,211816,31.61
secundaria,incivilidades_ind_rec,C2,2,Media percepción de incivilidades,225454,33.64
secundaria,incivilidades_ind_rec,C2,3,Alta percepción de incivilidades,232195,34.65
secundaria,incivilidades_ind_rec,C2,NA,NA,690,0.1
secundaria,incivilidades_ind_rec,C3,1,Baja percepción de incivilidades,944162,21.8
secundaria,incivilidades_ind_rec,C3,2,Media percepción de incivilidades,1760575,40.64
secundaria,incivilidades_ind_rec,C3,3,Alta percepción de incivilidades,1623359,37.47
secundaria,incivilidades_ind_rec,C3,NA,NA,3845,0.09
secundaria,incivilidades_ind_rec,C4,1,Baja percepción de incivilidades,302569,15.78
secundaria,incivilidades_ind_rec,C4,2,Media percepción de incivilidades,696666,36.33
secundaria,incivilidades_ind_rec,C4,3,Alta percepción de incivilidades,917202,47.82
secundaria,incivilidades_ind_rec,C4,NA,NA,1395,0.07
secundaria,incivilidades_ind_rec,C5,1,Baja percepción de incivilidades,224456,8.79
secundaria,incivilidades_ind_rec,C5,2,Media percepción de incivilidades,698051,27.33
secundaria,incivilidades_ind_rec,C5,3,Alta percepción de incivilidades,1625894,63.65
secundaria,incivilidades_ind_rec,C5,NA,NA,6104,0.24
secundaria,p_aumento_pais,C1,1,Aumentó,1632610,65.2
secundaria,p_aumento_pais,C1,2,Se mantuvo,682382,27.25
secundaria,p_aumento_pais,C1,3,Disminuyó,157176,6.28
secundaria,p_aumento_pais,C1,88,No sabe,30542,1.22
secundaria,p_aumento_pais,C1,99,No responde,1239,0.05
secundaria,p_aumento_pais,C2,1,Aumentó,556703,83.07
secundaria,p_aumento_pais,C2,2,Se mantuvo,94675,14.13
secundaria,p_aumento_pais,C2,3,Disminuyó,13669,2.04
secundaria,p_aumento_pais,C2,88,No sabe,5107,0.76
secundaria,p_aumento_pais,C3,1,Aumentó,3520693,81.27
secundaria,p_aumento_pais,C3,2,Se mantuvo,721769,16.66
secundaria,p_aumento_pais,C3,3,Disminuyó,73110,1.69
secundaria,p_aumento_pais,C3,88,No sabe,16305,0.38
secundaria,p_aumento_pais,C3,99,No responde,63,0
secundaria,p_aumento_pais,C4,1,Aumentó,1782326,92.93
secundaria,p_aumento_pais,C4,2,Se mantuvo,123221,6.43
secundaria,p_aumento_pais,C4,3,Disminuyó,8031,0.42
secundaria,p_aumento_pais,C4,88,No sabe,3923,0.2
secundaria,p_aumento_pais,C4,99,No responde,332,0.02
secundaria,p_aumento_pais,C5,1,Aumentó,2422711,94.84
secundaria,p_aumento_pais,C5,2,Se mantuvo,119503,4.68
secundaria,p_aumento_pais,C5,3,Disminuyó,9524,0.37
secundaria,p_aumento_pais,C5,88,No sabe,2077,0.08
secundaria,p_aumento_pais,C5,99,No responde,691,0.03
secundaria,p_aumento_com,C1,1,Aumentó,1166484,46.59
secundaria,p_aumento_com,C1,2,Se mantuvo,1060647,42.36
secundaria,p_aumento_com,C1,3,Disminuyó,215173,8.59
secundaria,p_aumento_com,C1,88,No sabe,60006,2.4
secundaria,p_aumento_com,C1,99,No responde,1641,0.07
secundaria,p_aumento_com,C2,1,Aumentó,458129,68.36
secundaria,p_aumento_com,C2,2,Se mantuvo,177458,26.48
secundaria,p_aumento_com,C2,3,Disminuyó,22259,3.32
secundaria,p_aumento_com,C2,88,No sabe,12267,1.83
secundaria,p_aumento_com,C2,99,No responde,41,0.01
secundaria,p_aumento_com,C3,1,Aumentó,2982670,68.85
secundaria,p_aumento_com,C3,2,Se mantuvo,1140901,26.34
secundaria,p_aumento_com,C3,3,Disminuyó,149677,3.46
secundaria,p_aumento_com,C3,88,No sabe,57471,1.33
secundaria,p_aumento_com,C3,99,No responde,1222,0.03
secundaria,p_aumento_com,C4,1,Aumentó,1629041,84.94
secundaria,p_aumento_com,C4,2,Se mantuvo,253443,13.22
secundaria,p_aumento_com,C4,3,Disminuyó,23440,1.22
secundaria,p_aumento_com,C4,88,No sabe,11827,0.62
secundaria,p_aumento_com,C4,99,No responde,82,0
secundaria,p_aumento_com,C5,1,Aumentó,2250229,88.09
secundaria,p_aumento_com,C5,2,Se mantuvo,265149,10.38
secundaria,p_aumento_com,C5,3,Disminuyó,19025,0.74
secundaria,p_aumento_com,C5,88,No sabe,18378,0.72
