grupo_variable,variable,categoria,C1,C2,C3,C4,C5
secundaria,desordenes_ind_rec,Baja percepción de desordenes,47.39,34.94,26.27,22.37,14.56
secundaria,desordenes_ind_rec,Media percepción de desordenes,30.94,29.66,33.27,29.89,24.42
secundaria,desordenes_ind_rec,Alta percepción de desordenes,21.59,35.29,40.42,47.72,60.99
secundaria,desordenes_ind_rec,Sin dato suficiente,0.08,0.11,0.03,0.02,0.03
secundaria,enc_region_rec,Zona norte,13.2,19.79,11.74,14.46,12.11
secundaria,enc_region_rec,Zona centro,35.56,33.47,29.06,34.81,24.37
secundaria,enc_region_rec,Zona sur,11.07,11.82,5.05,5.9,3.26
secundaria,enc_region_rec,Zona metropolitana,40.16,34.92,54.14,44.84,60.26
secundaria,incivilidades_ind_rec,Baja percepción de incivilidades,46.5,31.61,21.8,15.78,8.79
secundaria,incivilidades_ind_rec,Media percepción de incivilidades,37,33.64,40.64,36.33,27.33
secundaria,incivilidades_ind_rec,Alta percepción de incivilidades,16.4,34.65,37.47,47.82,63.65
secundaria,incivilidades_ind_rec,Sin dato suficiente,0.11,0.1,0.09,0.07,0.24
secundaria,info_exp_personal,No se informa por experiencia personal,76.67,76.65,78.35,76.67,74.26
secundaria,info_exp_personal,Se informa por experiencia personal,23.18,23.23,21.57,23.28,25.71
secundaria,info_exp_personal,No sabe,0.14,0.12,0.08,0.05,0.03
secundaria,info_exp_personal,No responde,0.01,0,0,0,0
secundaria,info_otras_personas,No se informa por otras personas,44.18,44.44,41.79,39.66,43.32
secundaria,info_otras_personas,Se informa por otras personas,55.67,55.45,58.13,60.29,56.65
secundaria,info_otras_personas,No sabe,0.14,0.12,0.08,0.05,0.03
secundaria,info_otras_personas,No responde,0.01,0,0,0,0
secundaria,info_prensa,No se informa por prensa,41.62,40.08,39.91,36.51,37.56
secundaria,info_prensa,Se informa por prensa,58.22,59.8,60.01,63.44,62.41
secundaria,info_prensa,No sabe,0.14,0.12,0.08,0.05,0.03
secundaria,info_prensa,No responde,0.01,0,0,0,0
secundaria,info_rrss,No se informa por RRSS,42.89,40.28,39.15,42.06,44.88
secundaria,info_rrss,Se informa por RRSS,56.96,59.61,60.76,57.89,55.09
secundaria,info_rrss,No sabe,0.14,0.12,0.08,0.05,0.03
secundaria,info_rrss,No responde,0.01,0,0,0,0
secundaria,info_tv,No se informa por noticias,54.71,50.14,52.07,47.4,47.88
secundaria,info_tv,Se informa por noticias,45.14,49.74,47.85,52.55,52.09
secundaria,info_tv,No sabe,0.14,0.12,0.08,0.05,0.03
secundaria,info_tv,No responde,0.01,0,0,0,0
secundaria,rph_edad_rec,0 a 29 años,27.32,25.6,30.36,20.12,16.67
secundaria,rph_edad_rec,30 a 59 años,48.05,52.34,51.88,55.66,59.08
secundaria,rph_edad_rec,60 años o más,24.63,22.06,17.75,24.22,24.25
secundaria,rph_nivel_rec,Educación básica o menos,13.11,16.01,8.67,12.62,11.97
secundaria,rph_nivel_rec,Educación secundaria,41.8,43.87,39.44,42.46,43.59
secundaria,rph_nivel_rec,Educación terciaria,44.67,39.57,51.54,44.54,44.04
secundaria,rph_nivel_rec,Sin dato,0.27,0.28,0.22,0.24,0.23
secundaria,rph_nivel_rec,Nivel ignorado,0.15,0.27,0.13,0.14,0.16
secundaria,rph_nse,Bajo,40.84,48.32,35.73,43.17,44.6
secundaria,rph_nse,Medio,37.8,36.09,41.35,40.26,41.26
secundaria,rph_nse,Alto,21.35,15.59,22.92,16.57,14.13
secundaria,rph_sexo,Hombre,62.81,48.71,51.5,40.4,38.18
secundaria,rph_sexo,Mujer,37.19,51.29,48.5,59.6,61.82
secundaria,vp_dc,No,84.39,75.55,70.97,68.3,66.79
secundaria,vp_dc,Sí,15.61,24.45,29.03,31.7,33.21
secundaria,vp_dv,No,97.43,93.91,94.6,93.91,92.71
secundaria,vp_dv,Sí,2.57,6.09,5.4,6.09,7.29
fuente,comgen_com_pct_cat,Sin medidas en el barrio,29.55,52.52,20.03,24.28,23.52
fuente,comgen_com_pct_cat,Una medida en el barrio,31.11,0,24.23,37.93,30.15
fuente,comgen_com_pct_cat,Dos o más medidas en el barrio,39.33,47.48,55.74,37.79,46.33
